Episode,mode,xT,yT,vx,vy,x,y,z,C_FL,C_FR,C_RL,C_RR,p_FL,p_FR,p_RL,p_RR,p_S,p_T,r_FL,r_FR,r_RL,r_RR,r_S,r_T,o_FL,o_FR,o_RL,o_RR,a,b
New episode
,0,0,0,0,0,0.315,-2.86,0,0,0,0,0,0,3.141593,3.141593,0,0,0,1.5,1.5,1.5,1.5,2,0,0,0,0,0,0,0
,0,0,0,0,-190.6669,0.315,-2.86,0,0,0,0,0,0,3.141593,3.141593,0,0,0,1.5,1.5,1.5,1.5,2,0,0,0,0,0,0,4.999986E-05
,0,0.2394255,0,-0.02971567,-93.0146,0.3048921,-1.395217,0.007278936,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,3.984651,0,1,1,1,1,1,40,0,0,0,0,16.96079,1.584905
,0,0.2394255,0,-0.009660507,-93.00463,0.3048422,-1.395067,0.007208601,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,4.0035,0,1.000025,1.000025,1.000025,1.000025,1.000025,40,0,0,0,0,15.26471,1.485883
,0,0.2394255,0,-0.03023956,97.57665,0.3046919,-1.396352,0.006949562,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,4.022349,0,1.070344,1.070344,1.070344,1.070344,1.008312,40,0,0,0,0,13.29413,1.337316
,0,0.2394255,0,-0.03018845,-0.06508836,0.3045389,-1.396193,0.007023202,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,4.041199,0,1.158232,1.158232,1.158232,1.158232,1.018661,40,0,0,0,0,11.29229,1.170165
,0,0.2394255,0,-0.05886006,-0.1576426,0.3042452,-1.397432,0.006956266,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,4.060048,0,1.240625,1.240625,1.240625,1.240625,1.02836,40,0,0,0,0,9.397994,1.003007
,0,0.2394255,0,-0.05335005,-0.05878616,0.3039772,-1.397234,0.007192296,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,4.078897,0,1.309284,1.309284,1.309284,1.309284,1.036442,40,0,0,0,0,7.682577,0.8462929
,0,0.2394255,0,-0.08455519,-0.149584,0.3035547,-1.398437,0.007291561,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,4.097747,0,1.362923,1.362923,1.362923,1.362923,1.042755,40,0,0,0,0,6.174994,0.7052479
,0,0.2394255,0,-0.07541082,-0.05149849,0.3031767,-1.398205,0.007685531,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,4.116596,0,1.403152,1.403152,1.403152,1.403152,1.047489,40,0,0,0,0,4.878542,0.5818322
,0,0.2394255,0,-0.1070051,-0.1430275,0.3026421,-1.399379,0.007947356,0,0,0,0,3.79694,2.55324,4.306532,0.3473897,4.135446,0,1.432486,1.432486,1.432486,1.432486,1.050941,40,0,0,0,0,3.781879,0.4760464
